,HP1,HP2,HP3
1,137.075,142.075,5
2,68.7875,71.2875,5
3,46.025,47.69166667,5
4,34.64375,35.89375,5
5,27.815,28.815,5
6,23.2625,24.09583333,5
7,20.01071429,20.725,5
8,17.571875,18.196875,5
9,15.675,16.23055556,5
10,14.1575,14.6575,5
11,12.91590909,13.37045455,5
12,11.88125,12.29791667,5
13,11.00576923,11.39038462,5
14,10.25535714,10.6125,5
15,9.605,9.938333333,5
16,9.0359375,9.3484375,5
17,8.533823529,8.827941176,5
18,8.0875,8.365277778,5
19,7.688157895,7.951315789,5
20,7.32875,7.57875,5
21,7.003571429,7.241666667,5
22,6.707954545,6.935227273,5
23,6.438043478,6.655434783,5
24,6.190625,6.398958333,5
25,5.963,6.163,5
26,5.752884615,5.945192308,5
27,5.558333333,5.743518519,5
28,5.377678571,5.55625,5
29,5.209482759,5.381896552,5
30,5.0525,5.219166667,5
31,4.905645161,5.066935484,5
32,4.76796875,4.92421875,5
33,4.638636364,4.790151515,5
34,4.516911765,4.663970588,5
35,4.402142857,4.545,5
36,4.29375,4.432638889,5
37,4.191216216,4.326351351,5
38,4.094078947,4.225657895,5
39,4.001923077,4.130128205,5
40,3.914375,4.039375,5
41,3.831097561,3.95304878,5
42,3.751785714,3.870833333,5
43,3.676162791,3.79244186,5
44,3.603977273,3.717613636,5
45,3.535,3.646111111,5
46,3.469021739,3.577717391,5
47,3.405851064,3.512234043,5
48,3.3453125,3.449479167,5
49,3.287244898,3.389285714,5
50,3.2315,3.3315,5
51,3.177941176,3.275980392,5
52,3.126442308,3.222596154,5
53,3.076886792,3.171226415,5
54,3.029166667,3.121759259,5
55,2.983181818,3.074090909,5
56,2.938839286,3.028125,5
57,2.896052632,2.98377193,5
58,2.854741379,2.940948276,5
59,2.814830508,2.899576271,5
60,2.77625,2.859583333,5
61,2.738934426,2.820901639,5
62,2.702822581,2.783467742,5
63,2.667857143,2.747222222,5
64,2.633984375,2.712109375,5
65,2.601153846,2.678076923,5
66,2.569318182,2.645075758,5
67,2.538432836,2.613059701,4
68,2.508455882,2.581985294,4
69,2.479347826,2.551811594,4
70,2.451071429,2.5225,2
71,2.423591549,2.494014085,2
72,2.396875,2.466319444,2
73,2.370890411,2.439383562,2
74,2.345608108,2.413175676,2
75,2.321,2.387666667,2
76,2.297039474,2.362828947,2
77,2.273701299,2.338636364,2
78,2.250961538,2.315064103,2
79,2.228797468,2.292088608,2
80,2.2071875,2.2696875,2
81,2.186111111,2.247839506,2
82,2.16554878,2.22652439,2
83,2.145481928,2.205722892,2
84,2.125892857,2.185416667,2
85,2.106764706,2.165588235,2
86,2.088081395,2.14622093,2
87,2.069827586,2.127298851,2
88,2.051988636,2.108806818,2
89,2.034550562,2.090730337,2
90,2.0175,2.073055556,2
91,2.000824176,2.055769231,2
92,1.98451087,2.038858696,2
93,1.968548387,2.022311828,2
94,1.952925532,2.006117021,2
95,1.937631579,1.990263158,2
96,1.92265625,1.974739583,2
97,1.907989691,1.959536082,2
98,1.893622449,1.944642857,2
99,1.879545455,1.930050505,2
100,1.86575,1.91575,2
