,Amsterdam,Utrecht
1-1-2015 0:00,17.36796467,11.57864311
1-1-2015 1:00,4.921905503,3.281270335
1-1-2015 2:00,2.1574281,1.4382854
1-1-2015 3:00,7.924658551,5.283105701
1-1-2015 4:00,30.79125997,20.52750665
1-1-2015 5:00,85.83048958,57.22032639
1-1-2015 6:00,115.123698,76.749132
1-1-2015 7:00,106.377296,70.91819733
1-1-2015 8:00,89.05989601,59.37326401
1-1-2015 9:00,77.47659595,51.65106397
1-1-2015 10:00,67.45536652,44.97024435
1-1-2015 11:00,61.29830876,40.86553917
1-1-2015 12:00,58.80408252,39.20272168
1-1-2015 13:00,54.25372134,36.16914756
1-1-2015 14:00,52.89036707,35.26024471
1-1-2015 15:00,54.9653818,36.64358787
1-1-2015 16:00,61.22333846,40.81555897
1-1-2015 17:00,70.26662055,46.8444137
1-1-2015 18:00,87.16585116,58.11056744
1-1-2015 19:00,104.830311,69.886874
1-1-2015 20:00,112.2832778,74.85551853
1-1-2015 21:00,103.0197711,68.6798474
1-1-2015 22:00,76.70517293,51.13678195
1-1-2015 23:00,43.93726921,29.29151281
2-1-2015 0:00,17.36796467,11.57864311
2-1-2015 1:00,4.921905503,3.281270335
2-1-2015 2:00,2.1574281,1.4382854
2-1-2015 3:00,7.924658551,5.283105701
2-1-2015 4:00,30.79125997,20.52750665
2-1-2015 5:00,85.83048958,57.22032639
2-1-2015 6:00,115.123698,76.749132
2-1-2015 7:00,106.377296,70.91819733
2-1-2015 8:00,89.05989601,59.37326401
2-1-2015 9:00,77.47659595,51.65106397
2-1-2015 10:00,67.45536652,44.97024435
2-1-2015 11:00,61.29830876,40.86553917
2-1-2015 12:00,58.80408252,39.20272168
2-1-2015 13:00,54.25372134,36.16914756
2-1-2015 14:00,52.89036707,35.26024471
2-1-2015 15:00,54.9653818,36.64358787
2-1-2015 16:00,61.22333846,40.81555897
2-1-2015 17:00,70.26662055,46.8444137
2-1-2015 18:00,87.16585116,58.11056744
2-1-2015 19:00,104.830311,69.886874
2-1-2015 20:00,112.2832778,74.85551853
2-1-2015 21:00,103.0197711,68.6798474
2-1-2015 22:00,76.70517293,51.13678195
2-1-2015 23:00,43.93726921,29.29151281
3-1-2015 0:00,18.14927829,12.09951886
3-1-2015 1:00,6.680252001,4.453501334
3-1-2015 2:00,2.820750492,1.880500328
3-1-2015 3:00,3.908824462,2.605882975
3-1-2015 4:00,9.380395917,6.253597278
3-1-2015 5:00,21.34021785,14.2268119
3-1-2015 6:00,41.94451169,27.96300779
3-1-2015 7:00,71.89961905,47.93307937
3-1-2015 8:00,91.33094119,60.88729413
3-1-2015 9:00,93.76991254,62.51327503
3-1-2015 10:00,84.61730037,56.41153358
3-1-2015 11:00,74.26164204,49.50776136
3-1-2015 12:00,64.35484914,42.90323276
3-1-2015 13:00,54.64700903,36.43133935
3-1-2015 14:00,48.05466043,32.03644029
3-1-2015 15:00,43.5019785,29.001319
3-1-2015 16:00,46.24734419,30.83156279
3-1-2015 17:00,50.75391124,33.83594083
3-1-2015 18:00,68.46853654,45.64569103
3-1-2015 19:00,86.98010261,57.98673507
3-1-2015 20:00,95.19553059,63.46368706
3-1-2015 21:00,90.17647415,60.11764943
3-1-2015 22:00,61.35155439,40.90103626
3-1-2015 23:00,35.17988189,23.45325459
4-1-2015 0:00,18.14927829,12.09951886
4-1-2015 1:00,6.680252001,4.453501334
4-1-2015 2:00,2.820750492,1.880500328
4-1-2015 3:00,3.908824462,2.605882975
4-1-2015 4:00,9.380395917,6.253597278
4-1-2015 5:00,21.34021785,14.2268119
4-1-2015 6:00,41.94451169,27.96300779
4-1-2015 7:00,71.89961905,47.93307937
4-1-2015 8:00,91.33094119,60.88729413
4-1-2015 9:00,93.76991254,62.51327503
4-1-2015 10:00,84.61730037,56.41153358
4-1-2015 11:00,74.26164204,49.50776136
4-1-2015 12:00,64.35484914,42.90323276
4-1-2015 13:00,54.64700903,36.43133935
4-1-2015 14:00,48.05466043,32.03644029
4-1-2015 15:00,43.5019785,29.001319
4-1-2015 16:00,46.24734419,30.83156279
4-1-2015 17:00,50.75391124,33.83594083
4-1-2015 18:00,68.46853654,45.64569103
4-1-2015 19:00,86.98010261,57.98673507
4-1-2015 20:00,95.19553059,63.46368706
4-1-2015 21:00,90.17647415,60.11764943
4-1-2015 22:00,61.35155439,40.90103626
4-1-2015 23:00,35.17988189,23.45325459
5-1-2015 0:00,17.36796467,11.57864311
5-1-2015 1:00,4.921905503,3.281270335
5-1-2015 2:00,2.1574281,1.4382854
5-1-2015 3:00,7.924658551,5.283105701
5-1-2015 4:00,30.79125997,20.52750665
5-1-2015 5:00,85.83048958,57.22032639
5-1-2015 6:00,115.123698,76.749132
5-1-2015 7:00,106.377296,70.91819733
5-1-2015 8:00,89.05989601,59.37326401
5-1-2015 9:00,77.47659595,51.65106397
5-1-2015 10:00,67.45536652,44.97024435
5-1-2015 11:00,61.29830876,40.86553917
5-1-2015 12:00,58.80408252,39.20272168
5-1-2015 13:00,54.25372134,36.16914756
5-1-2015 14:00,52.89036707,35.26024471
5-1-2015 15:00,54.9653818,36.64358787
5-1-2015 16:00,61.22333846,40.81555897
5-1-2015 17:00,70.26662055,46.8444137
5-1-2015 18:00,87.16585116,58.11056744
5-1-2015 19:00,104.830311,69.886874
5-1-2015 20:00,112.2832778,74.85551853
5-1-2015 21:00,103.0197711,68.6798474
5-1-2015 22:00,76.70517293,51.13678195
5-1-2015 23:00,43.93726921,29.29151281
6-1-2015 0:00,17.36796467,11.57864311
6-1-2015 1:00,4.921905503,3.281270335
6-1-2015 2:00,2.1574281,1.4382854
6-1-2015 3:00,7.924658551,5.283105701
6-1-2015 4:00,30.79125997,20.52750665
6-1-2015 5:00,85.83048958,57.22032639
6-1-2015 6:00,115.123698,76.749132
6-1-2015 7:00,106.377296,70.91819733
6-1-2015 8:00,89.05989601,59.37326401
6-1-2015 9:00,77.47659595,51.65106397
6-1-2015 10:00,67.45536652,44.97024435
6-1-2015 11:00,61.29830876,40.86553917
6-1-2015 12:00,58.80408252,39.20272168
6-1-2015 13:00,54.25372134,36.16914756
6-1-2015 14:00,52.89036707,35.26024471
6-1-2015 15:00,54.9653818,36.64358787
6-1-2015 16:00,61.22333846,40.81555897
6-1-2015 17:00,70.26662055,46.8444137
6-1-2015 18:00,87.16585116,58.11056744
6-1-2015 19:00,104.830311,69.886874
6-1-2015 20:00,112.2832778,74.85551853
6-1-2015 21:00,103.0197711,68.6798474
6-1-2015 22:00,76.70517293,51.13678195
6-1-2015 23:00,43.93726921,29.29151281
7-1-2015 0:00,17.36796467,11.57864311
7-1-2015 1:00,4.921905503,3.281270335
7-1-2015 2:00,2.1574281,1.4382854
7-1-2015 3:00,7.924658551,5.283105701
7-1-2015 4:00,30.79125997,20.52750665
7-1-2015 5:00,85.83048958,57.22032639
7-1-2015 6:00,115.123698,76.749132
7-1-2015 7:00,106.377296,70.91819733
7-1-2015 8:00,89.05989601,59.37326401
7-1-2015 9:00,77.47659595,51.65106397
7-1-2015 10:00,67.45536652,44.97024435
7-1-2015 11:00,61.29830876,40.86553917
7-1-2015 12:00,58.80408252,39.20272168
7-1-2015 13:00,54.25372134,36.16914756
7-1-2015 14:00,52.89036707,35.26024471
7-1-2015 15:00,54.9653818,36.64358787
7-1-2015 16:00,61.22333846,40.81555897
7-1-2015 17:00,70.26662055,46.8444137
7-1-2015 18:00,87.16585116,58.11056744
7-1-2015 19:00,104.830311,69.886874
7-1-2015 20:00,112.2832778,74.85551853
7-1-2015 21:00,103.0197711,68.6798474
7-1-2015 22:00,76.70517293,51.13678195
7-1-2015 23:00,43.93726921,29.29151281
8-1-2015 0:00,17.36796467,11.57864311
8-1-2015 1:00,4.921905503,3.281270335
8-1-2015 2:00,2.1574281,1.4382854
8-1-2015 3:00,7.924658551,5.283105701
8-1-2015 4:00,30.79125997,20.52750665
8-1-2015 5:00,85.83048958,57.22032639
8-1-2015 6:00,115.123698,76.749132
8-1-2015 7:00,106.377296,70.91819733
8-1-2015 8:00,89.05989601,59.37326401
8-1-2015 9:00,77.47659595,51.65106397
8-1-2015 10:00,67.45536652,44.97024435
8-1-2015 11:00,61.29830876,40.86553917
8-1-2015 12:00,58.80408252,39.20272168
8-1-2015 13:00,54.25372134,36.16914756
8-1-2015 14:00,52.89036707,35.26024471
8-1-2015 15:00,54.9653818,36.64358787
8-1-2015 16:00,61.22333846,40.81555897
8-1-2015 17:00,70.26662055,46.8444137
8-1-2015 18:00,87.16585116,58.11056744
8-1-2015 19:00,104.830311,69.886874
8-1-2015 20:00,112.2832778,74.85551853
8-1-2015 21:00,103.0197711,68.6798474
8-1-2015 22:00,76.70517293,51.13678195
8-1-2015 23:00,43.93726921,29.29151281
9-1-2015 0:00,17.36796467,11.57864311
9-1-2015 1:00,4.921905503,3.281270335
9-1-2015 2:00,2.1574281,1.4382854
9-1-2015 3:00,7.924658551,5.283105701
9-1-2015 4:00,30.79125997,20.52750665
9-1-2015 5:00,85.83048958,57.22032639
9-1-2015 6:00,115.123698,76.749132
9-1-2015 7:00,106.377296,70.91819733
9-1-2015 8:00,89.05989601,59.37326401
9-1-2015 9:00,77.47659595,51.65106397
9-1-2015 10:00,67.45536652,44.97024435
9-1-2015 11:00,61.29830876,40.86553917
9-1-2015 12:00,58.80408252,39.20272168
9-1-2015 13:00,54.25372134,36.16914756
9-1-2015 14:00,52.89036707,35.26024471
9-1-2015 15:00,54.9653818,36.64358787
9-1-2015 16:00,61.22333846,40.81555897
9-1-2015 17:00,70.26662055,46.8444137
9-1-2015 18:00,87.16585116,58.11056744
9-1-2015 19:00,104.830311,69.886874
9-1-2015 20:00,112.2832778,74.85551853
9-1-2015 21:00,103.0197711,68.6798474
9-1-2015 22:00,76.70517293,51.13678195
9-1-2015 23:00,43.93726921,29.29151281
10-1-2015 0:00,18.14927829,12.09951886
10-1-2015 1:00,6.680252001,4.453501334
10-1-2015 2:00,2.820750492,1.880500328
10-1-2015 3:00,3.908824462,2.605882975
10-1-2015 4:00,9.380395917,6.253597278
10-1-2015 5:00,21.34021785,14.2268119
10-1-2015 6:00,41.94451169,27.96300779
10-1-2015 7:00,71.89961905,47.93307937
10-1-2015 8:00,91.33094119,60.88729413
10-1-2015 9:00,93.76991254,62.51327503
10-1-2015 10:00,84.61730037,56.41153358
10-1-2015 11:00,74.26164204,49.50776136
10-1-2015 12:00,64.35484914,42.90323276
10-1-2015 13:00,54.64700903,36.43133935
10-1-2015 14:00,48.05466043,32.03644029
10-1-2015 15:00,43.5019785,29.001319
10-1-2015 16:00,46.24734419,30.83156279
10-1-2015 17:00,50.75391124,33.83594083
10-1-2015 18:00,68.46853654,45.64569103
10-1-2015 19:00,86.98010261,57.98673507
10-1-2015 20:00,95.19553059,63.46368706
10-1-2015 21:00,90.17647415,60.11764943
10-1-2015 22:00,61.35155439,40.90103626
10-1-2015 23:00,35.17988189,23.45325459
11-1-2015 0:00,18.14927829,12.09951886
11-1-2015 1:00,6.680252001,4.453501334
11-1-2015 2:00,2.820750492,1.880500328
11-1-2015 3:00,3.908824462,2.605882975
11-1-2015 4:00,9.380395917,6.253597278
11-1-2015 5:00,21.34021785,14.2268119
11-1-2015 6:00,41.94451169,27.96300779
11-1-2015 7:00,71.89961905,47.93307937
11-1-2015 8:00,91.33094119,60.88729413
11-1-2015 9:00,93.76991254,62.51327503
11-1-2015 10:00,84.61730037,56.41153358
11-1-2015 11:00,74.26164204,49.50776136
11-1-2015 12:00,64.35484914,42.90323276
11-1-2015 13:00,54.64700903,36.43133935
11-1-2015 14:00,48.05466043,32.03644029
11-1-2015 15:00,43.5019785,29.001319
11-1-2015 16:00,46.24734419,30.83156279
11-1-2015 17:00,50.75391124,33.83594083
11-1-2015 18:00,68.46853654,45.64569103
11-1-2015 19:00,86.98010261,57.98673507
11-1-2015 20:00,95.19553059,63.46368706
11-1-2015 21:00,90.17647415,60.11764943
11-1-2015 22:00,61.35155439,40.90103626
11-1-2015 23:00,35.17988189,23.45325459
12-1-2015 0:00,17.36796467,11.57864311
12-1-2015 1:00,4.921905503,3.281270335
12-1-2015 2:00,2.1574281,1.4382854
12-1-2015 3:00,7.924658551,5.283105701
12-1-2015 4:00,30.79125997,20.52750665
12-1-2015 5:00,85.83048958,57.22032639
12-1-2015 6:00,115.123698,76.749132
12-1-2015 7:00,106.377296,70.91819733
12-1-2015 8:00,89.05989601,59.37326401
12-1-2015 9:00,77.47659595,51.65106397
12-1-2015 10:00,67.45536652,44.97024435
12-1-2015 11:00,61.29830876,40.86553917
12-1-2015 12:00,58.80408252,39.20272168
12-1-2015 13:00,54.25372134,36.16914756
12-1-2015 14:00,52.89036707,35.26024471
12-1-2015 15:00,54.9653818,36.64358787
12-1-2015 16:00,61.22333846,40.81555897
12-1-2015 17:00,70.26662055,46.8444137
12-1-2015 18:00,87.16585116,58.11056744
12-1-2015 19:00,104.830311,69.886874
12-1-2015 20:00,112.2832778,74.85551853
12-1-2015 21:00,103.0197711,68.6798474
12-1-2015 22:00,76.70517293,51.13678195
12-1-2015 23:00,43.93726921,29.29151281
13-1-2015 0:00,17.36796467,11.57864311
13-1-2015 1:00,4.921905503,3.281270335
13-1-2015 2:00,2.1574281,1.4382854
13-1-2015 3:00,7.924658551,5.283105701
13-1-2015 4:00,30.79125997,20.52750665
13-1-2015 5:00,85.83048958,57.22032639
13-1-2015 6:00,115.123698,76.749132
13-1-2015 7:00,106.377296,70.91819733
13-1-2015 8:00,89.05989601,59.37326401
13-1-2015 9:00,77.47659595,51.65106397
13-1-2015 10:00,67.45536652,44.97024435
13-1-2015 11:00,61.29830876,40.86553917
13-1-2015 12:00,58.80408252,39.20272168
13-1-2015 13:00,54.25372134,36.16914756
13-1-2015 14:00,52.89036707,35.26024471
13-1-2015 15:00,54.9653818,36.64358787
13-1-2015 16:00,61.22333846,40.81555897
13-1-2015 17:00,70.26662055,46.8444137
13-1-2015 18:00,87.16585116,58.11056744
13-1-2015 19:00,104.830311,69.886874
13-1-2015 20:00,112.2832778,74.85551853
13-1-2015 21:00,103.0197711,68.6798474
13-1-2015 22:00,76.70517293,51.13678195
13-1-2015 23:00,43.93726921,29.29151281
14-1-2015 0:00,17.36796467,11.57864311
14-1-2015 1:00,4.921905503,3.281270335
14-1-2015 2:00,2.1574281,1.4382854
14-1-2015 3:00,7.924658551,5.283105701
14-1-2015 4:00,30.79125997,20.52750665
14-1-2015 5:00,85.83048958,57.22032639
14-1-2015 6:00,115.123698,76.749132
14-1-2015 7:00,106.377296,70.91819733
14-1-2015 8:00,89.05989601,59.37326401
14-1-2015 9:00,77.47659595,51.65106397
14-1-2015 10:00,67.45536652,44.97024435
14-1-2015 11:00,61.29830876,40.86553917
14-1-2015 12:00,58.80408252,39.20272168
14-1-2015 13:00,54.25372134,36.16914756
14-1-2015 14:00,52.89036707,35.26024471
14-1-2015 15:00,54.9653818,36.64358787
14-1-2015 16:00,61.22333846,40.81555897
14-1-2015 17:00,70.26662055,46.8444137
14-1-2015 18:00,87.16585116,58.11056744
14-1-2015 19:00,104.830311,69.886874
14-1-2015 20:00,112.2832778,74.85551853
14-1-2015 21:00,103.0197711,68.6798474
14-1-2015 22:00,76.70517293,51.13678195
14-1-2015 23:00,43.93726921,29.29151281
15-1-2015 0:00,17.36796467,11.57864311
15-1-2015 1:00,4.921905503,3.281270335
15-1-2015 2:00,2.1574281,1.4382854
15-1-2015 3:00,7.924658551,5.283105701
15-1-2015 4:00,30.79125997,20.52750665
15-1-2015 5:00,85.83048958,57.22032639
15-1-2015 6:00,115.123698,76.749132
15-1-2015 7:00,106.377296,70.91819733
15-1-2015 8:00,89.05989601,59.37326401
15-1-2015 9:00,77.47659595,51.65106397
15-1-2015 10:00,67.45536652,44.97024435
15-1-2015 11:00,61.29830876,40.86553917
15-1-2015 12:00,58.80408252,39.20272168
15-1-2015 13:00,54.25372134,36.16914756
15-1-2015 14:00,52.89036707,35.26024471
15-1-2015 15:00,54.9653818,36.64358787
15-1-2015 16:00,61.22333846,40.81555897
15-1-2015 17:00,70.26662055,46.8444137
15-1-2015 18:00,87.16585116,58.11056744
15-1-2015 19:00,104.830311,69.886874
15-1-2015 20:00,112.2832778,74.85551853
15-1-2015 21:00,103.0197711,68.6798474
15-1-2015 22:00,76.70517293,51.13678195
15-1-2015 23:00,43.93726921,29.29151281
16-1-2015 0:00,17.36796467,11.57864311
16-1-2015 1:00,4.921905503,3.281270335
16-1-2015 2:00,2.1574281,1.4382854
16-1-2015 3:00,7.924658551,5.283105701
16-1-2015 4:00,30.79125997,20.52750665
16-1-2015 5:00,85.83048958,57.22032639
16-1-2015 6:00,115.123698,76.749132
16-1-2015 7:00,106.377296,70.91819733
16-1-2015 8:00,89.05989601,59.37326401
16-1-2015 9:00,77.47659595,51.65106397
16-1-2015 10:00,67.45536652,44.97024435
16-1-2015 11:00,61.29830876,40.86553917
16-1-2015 12:00,58.80408252,39.20272168
16-1-2015 13:00,54.25372134,36.16914756
16-1-2015 14:00,52.89036707,35.26024471
16-1-2015 15:00,54.9653818,36.64358787
16-1-2015 16:00,61.22333846,40.81555897
16-1-2015 17:00,70.26662055,46.8444137
16-1-2015 18:00,87.16585116,58.11056744
16-1-2015 19:00,104.830311,69.886874
16-1-2015 20:00,112.2832778,74.85551853
16-1-2015 21:00,103.0197711,68.6798474
16-1-2015 22:00,76.70517293,51.13678195
16-1-2015 23:00,43.93726921,29.29151281
17-1-2015 0:00,18.14927829,12.09951886
17-1-2015 1:00,6.680252001,4.453501334
17-1-2015 2:00,2.820750492,1.880500328
17-1-2015 3:00,3.908824462,2.605882975
17-1-2015 4:00,9.380395917,6.253597278
17-1-2015 5:00,21.34021785,14.2268119
17-1-2015 6:00,41.94451169,27.96300779
17-1-2015 7:00,71.89961905,47.93307937
17-1-2015 8:00,91.33094119,60.88729413
17-1-2015 9:00,93.76991254,62.51327503
17-1-2015 10:00,84.61730037,56.41153358
17-1-2015 11:00,74.26164204,49.50776136
17-1-2015 12:00,64.35484914,42.90323276
17-1-2015 13:00,54.64700903,36.43133935
17-1-2015 14:00,48.05466043,32.03644029
17-1-2015 15:00,43.5019785,29.001319
17-1-2015 16:00,46.24734419,30.83156279
17-1-2015 17:00,50.75391124,33.83594083
17-1-2015 18:00,68.46853654,45.64569103
17-1-2015 19:00,86.98010261,57.98673507
17-1-2015 20:00,95.19553059,63.46368706
17-1-2015 21:00,90.17647415,60.11764943
17-1-2015 22:00,61.35155439,40.90103626
17-1-2015 23:00,35.17988189,23.45325459
18-1-2015 0:00,18.14927829,12.09951886
18-1-2015 1:00,6.680252001,4.453501334
18-1-2015 2:00,2.820750492,1.880500328
18-1-2015 3:00,3.908824462,2.605882975
