,HeatDemandCY
1-1-2015 0:00,11865.24659
1-1-2015 1:00,11845.72879
1-1-2015 2:00,12948.03966
1-1-2015 3:00,13752.7438
1-1-2015 4:00,17756.99927
1-1-2015 5:00,25178.09219
1-1-2015 6:00,33364.45891
1-1-2015 7:00,36993.76858
1-1-2015 8:00,35860.00747
1-1-2015 9:00,33370.88569
1-1-2015 10:00,30929.5683
1-1-2015 11:00,29673.48043
1-1-2015 12:00,28552.94587
1-1-2015 13:00,27080.78707
1-1-2015 14:00,25650.08992
1-1-2015 15:00,24983.35356
1-1-2015 16:00,23646.92535
1-1-2015 17:00,22383.67119
1-1-2015 18:00,19468.64171
1-1-2015 19:00,17308.3897
1-1-2015 20:00,14317.87068
1-1-2015 21:00,12816.42447
1-1-2015 22:00,10737.75547
1-1-2015 23:00,8976.137987
2-1-2015 0:00,7936.688006
2-1-2015 1:00,7466.406902
2-1-2015 2:00,7553.958367
2-1-2015 3:00,8291.643672
2-1-2015 4:00,11286.63535
2-1-2015 5:00,16156.70349
2-1-2015 6:00,22015.56079
2-1-2015 7:00,25369.67072
2-1-2015 8:00,25288.42374
2-1-2015 9:00,23766.62519
2-1-2015 10:00,22310.49741
2-1-2015 11:00,21209.76297
2-1-2015 12:00,20906.47915
2-1-2015 13:00,20421.45861
2-1-2015 14:00,20383.63732
2-1-2015 15:00,22037.06106
2-1-2015 16:00,23345.73781
2-1-2015 17:00,24079.70546
2-1-2015 18:00,23474.77699
2-1-2015 19:00,22437.74268
2-1-2015 20:00,20696.37071
2-1-2015 21:00,18899.53775
2-1-2015 22:00,15906.87993
2-1-2015 23:00,12914.74326
3-1-2015 0:00,11626.5414
3-1-2015 1:00,11674.44731
3-1-2015 2:00,13641.89157
3-1-2015 3:00,15745.34938
3-1-2015 4:00,20087.6396
3-1-2015 5:00,25805.7477
3-1-2015 6:00,32222.4953
3-1-2015 7:00,35474.48542
3-1-2015 8:00,36016.70424
3-1-2015 9:00,33603.21393
3-1-2015 10:00,31276.87776
3-1-2015 11:00,29223.85323
3-1-2015 12:00,27478.48488
3-1-2015 13:00,27076.94498
3-1-2015 14:00,27225.76845
3-1-2015 15:00,29399.84239
3-1-2015 16:00,30390.4804
3-1-2015 17:00,30013.06743
3-1-2015 18:00,26771.25756
3-1-2015 19:00,24732.20052
3-1-2015 20:00,22192.95973
3-1-2015 21:00,20776.25312
3-1-2015 22:00,17713.80859
3-1-2015 23:00,15006.44708
4-1-2015 0:00,13544.97059
4-1-2015 1:00,13409.73435
4-1-2015 2:00,14656.60404
4-1-2015 3:00,16501.89409
4-1-2015 4:00,20140.68821
4-1-2015 5:00,26431.97153
4-1-2015 6:00,31422.37229
4-1-2015 7:00,34892.97456
4-1-2015 8:00,34754.64635
4-1-2015 9:00,33162.38405
4-1-2015 10:00,31311.47332
