;Vasilikos CCCP1;Vasilikos CCCP2
1-1-2015 0:00;1.736.796.467;1.736.796.467
1-1-2015 1:00;4.921.905.503;4.921.905.503
1-1-2015 2:00;21.574.281;21.574.281
1-1-2015 3:00;7.924.658.551;7.924.658.551
1-1-2015 4:00;3.079.125.997;3.079.125.997
1-1-2015 5:00;8.583.048.958;8.583.048.958
1-1-2015 6:00;115.123.698;115.123.698
1-1-2015 7:00;106.377.296;106.377.296
1-1-2015 8:00;8.905.989.601;8.905.989.601
1-1-2015 9:00;7.747.659.595;7.747.659.595
1-1-2015 10:00;6.745.536.652;6.745.536.652
1-1-2015 11:00;6.129.830.876;6.129.830.876
1-1-2015 12:00;5.880.408.252;5.880.408.252
1-1-2015 13:00;5.425.372.134;5.425.372.134
1-1-2015 14:00;5.289.036.707;5.289.036.707
1-1-2015 15:00;549.653.818;549.653.818
1-1-2015 16:00;6.122.333.846;6.122.333.846
1-1-2015 17:00;7.026.662.055;7.026.662.055
1-1-2015 18:00;8.716.585.116;8.716.585.116
1-1-2015 19:00;104.830.311;104.830.311
1-1-2015 20:00;1.122.832.778;1.122.832.778
1-1-2015 21:00;1.030.197.711;1.030.197.711
1-1-2015 22:00;7.670.517.293;7.670.517.293
1-1-2015 23:00;4.393.726.921;4.393.726.921
2-1-2015 0:00;1.736.796.467;1.736.796.467
2-1-2015 1:00;4.921.905.503;4.921.905.503
2-1-2015 2:00;21.574.281;21.574.281
2-1-2015 3:00;7.924.658.551;7.924.658.551
2-1-2015 4:00;3.079.125.997;3.079.125.997
2-1-2015 5:00;8.583.048.958;8.583.048.958
2-1-2015 6:00;115.123.698;115.123.698
2-1-2015 7:00;106.377.296;106.377.296
2-1-2015 8:00;8.905.989.601;8.905.989.601
2-1-2015 9:00;7.747.659.595;7.747.659.595
2-1-2015 10:00;6.745.536.652;6.745.536.652
2-1-2015 11:00;6.129.830.876;6.129.830.876
2-1-2015 12:00;5.880.408.252;5.880.408.252
2-1-2015 13:00;5.425.372.134;5.425.372.134
2-1-2015 14:00;5.289.036.707;5.289.036.707
2-1-2015 15:00;549.653.818;549.653.818
2-1-2015 16:00;6.122.333.846;6.122.333.846
2-1-2015 17:00;7.026.662.055;7.026.662.055
2-1-2015 18:00;8.716.585.116;8.716.585.116
2-1-2015 19:00;104.830.311;104.830.311
2-1-2015 20:00;1.122.832.778;1.122.832.778
2-1-2015 21:00;1.030.197.711;1.030.197.711
2-1-2015 22:00;7.670.517.293;7.670.517.293
2-1-2015 23:00;4.393.726.921;4.393.726.921
3-1-2015 0:00;1.814.927.829;1.814.927.829
3-1-2015 1:00;6.680.252.001;6.680.252.001
3-1-2015 2:00;2.820.750.492;2.820.750.492
3-1-2015 3:00;3.908.824.462;3.908.824.462
3-1-2015 4:00;9.380.395.917;9.380.395.917
3-1-2015 5:00;2.134.021.785;2.134.021.785
3-1-2015 6:00;4.194.451.169;4.194.451.169
3-1-2015 7:00;7.189.961.905;7.189.961.905
3-1-2015 8:00;9.133.094.119;9.133.094.119
3-1-2015 9:00;9.376.991.254;9.376.991.254
3-1-2015 10:00;8.461.730.037;8.461.730.037
3-1-2015 11:00;7.426.164.204;7.426.164.204
3-1-2015 12:00;6.435.484.914;6.435.484.914
3-1-2015 13:00;5.464.700.903;5.464.700.903
3-1-2015 14:00;4.805.466.043;4.805.466.043
3-1-2015 15:00;435.019.785;435.019.785
3-1-2015 16:00;4.624.734.419;4.624.734.419
3-1-2015 17:00;5.075.391.124;5.075.391.124
3-1-2015 18:00;6.846.853.654;6.846.853.654
3-1-2015 19:00;8.698.010.261;8.698.010.261
3-1-2015 20:00;9.519.553.059;9.519.553.059
3-1-2015 21:00;9.017.647.415;9.017.647.415
3-1-2015 22:00;6.135.155.439;6.135.155.439
3-1-2015 23:00;3.517.988.189;3.517.988.189
4-1-2015 0:00;1.814.927.829;1.814.927.829
4-1-2015 1:00;6.680.252.001;6.680.252.001
4-1-2015 2:00;2.820.750.492;2.820.750.492
4-1-2015 3:00;3.908.824.462;3.908.824.462
4-1-2015 4:00;9.380.395.917;9.380.395.917
4-1-2015 5:00;2.134.021.785;2.134.021.785
4-1-2015 6:00;4.194.451.169;4.194.451.169
4-1-2015 7:00;7.189.961.905;7.189.961.905
4-1-2015 8:00;9.133.094.119;9.133.094.119
4-1-2015 9:00;9.376.991.254;9.376.991.254
4-1-2015 10:00;8.461.730.037;8.461.730.037
4-1-2015 11:00;7.426.164.204;7.426.164.204
4-1-2015 12:00;6.435.484.914;6.435.484.914
4-1-2015 13:00;5.464.700.903;5.464.700.903
4-1-2015 14:00;4.805.466.043;4.805.466.043
4-1-2015 15:00;435.019.785;435.019.785
4-1-2015 16:00;4.624.734.419;4.624.734.419
4-1-2015 17:00;5.075.391.124;5.075.391.124
