,Amsterdam,Utrecht
1-1-2015 0:00,1483.155824,1483.155824
1-1-2015 1:00,1480.716099,1480.716099
1-1-2015 2:00,1618.504957,1618.504957
1-1-2015 3:00,1719.092975,1719.092975
1-1-2015 4:00,2219.624909,2219.624909
1-1-2015 5:00,3147.261523,3147.261523
1-1-2015 6:00,4170.557363,4170.557363
1-1-2015 7:00,4624.221072,4624.221072
1-1-2015 8:00,4482.500934,4482.500934
1-1-2015 9:00,4171.360711,4171.360711
1-1-2015 10:00,3866.196038,3866.196038
1-1-2015 11:00,3709.185054,3709.185054
1-1-2015 12:00,3569.118234,3569.118234
1-1-2015 13:00,3385.098383,3385.098383
1-1-2015 14:00,3206.26124,3206.26124
1-1-2015 15:00,3122.919195,3122.919195
1-1-2015 16:00,2955.865669,2955.865669
1-1-2015 17:00,2797.958898,2797.958898
1-1-2015 18:00,2433.580213,2433.580213
1-1-2015 19:00,2163.548713,2163.548713
1-1-2015 20:00,1789.733835,1789.733835
1-1-2015 21:00,1602.053059,1602.053059
1-1-2015 22:00,1342.219433,1342.219433
1-1-2015 23:00,1122.017248,1122.017248
2-1-2015 0:00,992.0860007,992.0860007
2-1-2015 1:00,933.3008627,933.3008627
2-1-2015 2:00,944.2447958,944.2447958
2-1-2015 3:00,1036.455459,1036.455459
2-1-2015 4:00,1410.829419,1410.829419
2-1-2015 5:00,2019.587936,2019.587936
2-1-2015 6:00,2751.945098,2751.945098
2-1-2015 7:00,3171.208839,3171.208839
2-1-2015 8:00,3161.052967,3161.052967
2-1-2015 9:00,2970.828149,2970.828149
2-1-2015 10:00,2788.812177,2788.812177
2-1-2015 11:00,2651.220372,2651.220372
2-1-2015 12:00,2613.309894,2613.309894
2-1-2015 13:00,2552.682326,2552.682326
2-1-2015 14:00,2547.954665,2547.954665
2-1-2015 15:00,2754.632633,2754.632633
2-1-2015 16:00,2918.217226,2918.217226
2-1-2015 17:00,3009.963183,3009.963183
2-1-2015 18:00,2934.347124,2934.347124
2-1-2015 19:00,2804.717835,2804.717835
2-1-2015 20:00,2587.046339,2587.046339
2-1-2015 21:00,2362.442219,2362.442219
2-1-2015 22:00,1988.359991,1988.359991
2-1-2015 23:00,1614.342907,1614.342907
3-1-2015 0:00,1453.317675,1453.317675
3-1-2015 1:00,1459.305913,1459.305913
3-1-2015 2:00,1705.236447,1705.236447
3-1-2015 3:00,1968.168672,1968.168672
3-1-2015 4:00,2510.95495,2510.95495
3-1-2015 5:00,3225.718463,3225.718463
3-1-2015 6:00,4027.811913,4027.811913
3-1-2015 7:00,4434.310678,4434.310678
3-1-2015 8:00,4502.08803,4502.08803
3-1-2015 9:00,4200.401741,4200.401741
3-1-2015 10:00,3909.60972,3909.60972
3-1-2015 11:00,3652.981654,3652.981654
3-1-2015 12:00,3434.81061,3434.81061
3-1-2015 13:00,3384.618123,3384.618123
3-1-2015 14:00,3403.221056,3403.221056
3-1-2015 15:00,3674.980299,3674.980299
3-1-2015 16:00,3798.81005,3798.81005
3-1-2015 17:00,3751.633429,3751.633429
3-1-2015 18:00,3346.407195,3346.407195
3-1-2015 19:00,3091.525065,3091.525065
3-1-2015 20:00,2774.119966,2774.119966
3-1-2015 21:00,2597.03164,2597.03164
3-1-2015 22:00,2214.226074,2214.226074
3-1-2015 23:00,1875.805885,1875.805885
4-1-2015 0:00,1693.121324,1693.121324
4-1-2015 1:00,1676.216794,1676.216794
4-1-2015 2:00,1832.075504,1832.075504
4-1-2015 3:00,2062.736761,2062.736761
4-1-2015 4:00,2517.586026,2517.586026
4-1-2015 5:00,3303.996441,3303.996441
4-1-2015 6:00,3927.796537,3927.796537
4-1-2015 7:00,4361.62182,4361.62182
4-1-2015 8:00,4344.330793,4344.330793
4-1-2015 9:00,4145.298007,4145.298007
4-1-2015 10:00,3913.934165,3913.934165
4-1-2015 11:00,3788.928776,3788.928776
4-1-2015 12:00,3700.709496,3700.709496
4-1-2015 13:00,3684.10654,3684.10654
4-1-2015 14:00,3700.572531,3700.572531
4-1-2015 15:00,3889.89177,3889.89177
4-1-2015 16:00,3928.119256,3928.119256
4-1-2015 17:00,3757.706221,3757.706221
