,Temperature
1-1-2015 0:00,2.4
1-1-2015 1:00,2.2
1-1-2015 2:00,1.6
1-1-2015 3:00,1.3
1-1-2015 4:00,1.2
1-1-2015 5:00,1.5
1-1-2015 6:00,1.6
1-1-2015 7:00,1.7
1-1-2015 8:00,1.8
1-1-2015 9:00,2.4
1-1-2015 10:00,3.1
1-1-2015 11:00,3.5
1-1-2015 12:00,4.1
1-1-2015 13:00,4.2
1-1-2015 14:00,4
1-1-2015 15:00,4
1-1-2015 16:00,4
1-1-2015 17:00,3.9
1-1-2015 18:00,3.5
1-1-2015 19:00,3.6
1-1-2015 20:00,3.5
1-1-2015 21:00,3.7
1-1-2015 22:00,4
1-1-2015 23:00,4.6
2-1-2015 0:00,5
2-1-2015 1:00,5.5
2-1-2015 2:00,5.5
2-1-2015 3:00,6.5
2-1-2015 4:00,7.3
2-1-2015 5:00,7.6
2-1-2015 6:00,9.2
2-1-2015 7:00,9.8
2-1-2015 8:00,8.9
2-1-2015 9:00,8.6
2-1-2015 10:00,8.8
2-1-2015 11:00,8.8
2-1-2015 12:00,8.8
2-1-2015 13:00,8.3
2-1-2015 14:00,7.7
2-1-2015 15:00,7
2-1-2015 16:00,7
2-1-2015 17:00,7
2-1-2015 18:00,6.7
2-1-2015 19:00,6.1
2-1-2015 20:00,6.1
2-1-2015 21:00,6.2
2-1-2015 22:00,6
2-1-2015 23:00,5.9
3-1-2015 0:00,4.8
3-1-2015 1:00,3.8
3-1-2015 2:00,4.2
3-1-2015 3:00,4.4
3-1-2015 4:00,4.1
3-1-2015 5:00,4.3
3-1-2015 6:00,4.1
3-1-2015 7:00,5
3-1-2015 8:00,4
3-1-2015 9:00,3.9
3-1-2015 10:00,3.9
3-1-2015 11:00,3.6
3-1-2015 12:00,3.4
3-1-2015 13:00,3
3-1-2015 14:00,2.9
3-1-2015 15:00,2.7
3-1-2015 16:00,2.7
3-1-2015 17:00,3
3-1-2015 18:00,3.3
3-1-2015 19:00,4.1
3-1-2015 20:00,4.3
3-1-2015 21:00,4.4
3-1-2015 22:00,3.9
3-1-2015 23:00,3.9
4-1-2015 0:00,3.4
4-1-2015 1:00,3.4
4-1-2015 2:00,3.2
4-1-2015 3:00,3.9
4-1-2015 4:00,2.5
4-1-2015 5:00,3.7
4-1-2015 6:00,2.8
4-1-2015 7:00,2.3
4-1-2015 8:00,3.6
4-1-2015 9:00,5.4
4-1-2015 10:00,6.7
4-1-2015 11:00,7.4
4-1-2015 12:00,7.9
4-1-2015 13:00,7.7
4-1-2015 14:00,6.8
4-1-2015 15:00,5.4
4-1-2015 16:00,4.8
4-1-2015 17:00,3.8
4-1-2015 18:00,2.9
4-1-2015 19:00,1.5
4-1-2015 20:00,0.9
4-1-2015 21:00,1.1
4-1-2015 22:00,1.1
4-1-2015 23:00,1.6
5-1-2015 0:00,1.4
5-1-2015 1:00,1.4
5-1-2015 2:00,1.7
5-1-2015 3:00,2.3
5-1-2015 4:00,2.6
5-1-2015 5:00,2.5
5-1-2015 6:00,2.2
5-1-2015 7:00,1.7
5-1-2015 8:00,1
5-1-2015 9:00,1.1
5-1-2015 10:00,1.3
5-1-2015 11:00,1.7
5-1-2015 12:00,2.5
5-1-2015 13:00,2.7
5-1-2015 14:00,2.7
5-1-2015 15:00,2.9
5-1-2015 16:00,2.9
5-1-2015 17:00,3
5-1-2015 18:00,3.1
5-1-2015 19:00,3.1
5-1-2015 20:00,3.2
5-1-2015 21:00,3.3
5-1-2015 22:00,3.7
5-1-2015 23:00,3.6
6-1-2015 0:00,3.7
6-1-2015 1:00,3.5
6-1-2015 2:00,3.2
6-1-2015 3:00,3.1
6-1-2015 4:00,2.9
6-1-2015 5:00,2.4
6-1-2015 6:00,1.2
6-1-2015 7:00,0.8
6-1-2015 8:00,0.7
6-1-2015 9:00,1.3
6-1-2015 10:00,1.9
6-1-2015 11:00,3
6-1-2015 12:00,2.7
6-1-2015 13:00,2.4
6-1-2015 14:00,2.1
6-1-2015 15:00,2.3
6-1-2015 16:00,2.4
6-1-2015 17:00,2.4
6-1-2015 18:00,2.3
6-1-2015 19:00,2.8
6-1-2015 20:00,3.8
6-1-2015 21:00,5.2
6-1-2015 22:00,5.6
6-1-2015 23:00,5.3
7-1-2015 0:00,5.4
7-1-2015 1:00,5.2
7-1-2015 2:00,4.5
7-1-2015 3:00,4.2
7-1-2015 4:00,3
7-1-2015 5:00,2.6
7-1-2015 6:00,3.1
7-1-2015 7:00,2.9
7-1-2015 8:00,3.4
7-1-2015 9:00,4.6
7-1-2015 10:00,5.8
7-1-2015 11:00,6.1
7-1-2015 12:00,7.2
7-1-2015 13:00,6.7
7-1-2015 14:00,6.1
7-1-2015 15:00,5.6
7-1-2015 16:00,5.2
7-1-2015 17:00,4.5
7-1-2015 18:00,4.3
7-1-2015 19:00,3.7
7-1-2015 20:00,3.7
7-1-2015 21:00,3.8
7-1-2015 22:00,3.7
7-1-2015 23:00,3.6
8-1-2015 0:00,4.3
8-1-2015 1:00,4.7
8-1-2015 2:00,5.3
8-1-2015 3:00,5.7
8-1-2015 4:00,6
8-1-2015 5:00,7
8-1-2015 6:00,7.6
8-1-2015 7:00,7.7
8-1-2015 8:00,7.8
8-1-2015 9:00,7.9
8-1-2015 10:00,7.9
8-1-2015 11:00,8
8-1-2015 12:00,8
8-1-2015 13:00,7.2
8-1-2015 14:00,6.2
8-1-2015 15:00,6.1
8-1-2015 16:00,6.1
8-1-2015 17:00,6.1
8-1-2015 18:00,6
8-1-2015 19:00,6.7
8-1-2015 20:00,6.5
8-1-2015 21:00,6.2
8-1-2015 22:00,5.8
8-1-2015 23:00,5.8
9-1-2015 0:00,6.3
9-1-2015 1:00,6.5
9-1-2015 2:00,6.6
9-1-2015 3:00,8.1
9-1-2015 4:00,7.8
9-1-2015 5:00,8.4
9-1-2015 6:00,8.1
9-1-2015 7:00,8.2
9-1-2015 8:00,8.6
9-1-2015 9:00,9.9
9-1-2015 10:00,11
9-1-2015 11:00,11.4
9-1-2015 12:00,11.6
9-1-2015 13:00,11.4
9-1-2015 14:00,11.1
9-1-2015 15:00,11
9-1-2015 16:00,8.8
9-1-2015 17:00,9.1
9-1-2015 18:00,9.7
9-1-2015 19:00,11.4
9-1-2015 20:00,12.4
9-1-2015 21:00,13.6
9-1-2015 22:00,12.8
9-1-2015 23:00,13.2
10-1-2015 0:00,12.8
10-1-2015 1:00,12.6
10-1-2015 2:00,11.9
10-1-2015 3:00,11.6
10-1-2015 4:00,11.5
10-1-2015 5:00,11.4
10-1-2015 6:00,11.1
10-1-2015 7:00,11.6
10-1-2015 8:00,11.9
10-1-2015 9:00,12.4
10-1-2015 10:00,12.4
10-1-2015 11:00,12.4
10-1-2015 12:00,9.8
10-1-2015 13:00,9.4
10-1-2015 14:00,8.8
10-1-2015 15:00,7.9
10-1-2015 16:00,7.2
10-1-2015 17:00,7
10-1-2015 18:00,6.6
10-1-2015 19:00,6.2
10-1-2015 20:00,5.8
10-1-2015 21:00,5.6
10-1-2015 22:00,5.8
10-1-2015 23:00,5.4
11-1-2015 0:00,5.4
11-1-2015 1:00,5.3
11-1-2015 2:00,5
11-1-2015 3:00,5.3
11-1-2015 4:00,5.3
11-1-2015 5:00,5.6
11-1-2015 6:00,5.2
11-1-2015 7:00,5.4
11-1-2015 8:00,5.4
11-1-2015 9:00,6
11-1-2015 10:00,6.4
11-1-2015 11:00,6.6
11-1-2015 12:00,6.8
11-1-2015 13:00,6.8
11-1-2015 14:00,6.8
11-1-2015 15:00,7
11-1-2015 16:00,7.1
11-1-2015 17:00,6.7
11-1-2015 18:00,7.2
11-1-2015 19:00,6.8
11-1-2015 20:00,6.8
11-1-2015 21:00,8
11-1-2015 22:00,8.1
11-1-2015 23:00,7.7
12-1-2015 0:00,8.1
12-1-2015 1:00,8.1
12-1-2015 2:00,7.8
12-1-2015 3:00,7.3
12-1-2015 4:00,7.7
12-1-2015 5:00,7.3
12-1-2015 6:00,6.9
12-1-2015 7:00,6.8
12-1-2015 8:00,6.5
12-1-2015 9:00,7.6
12-1-2015 10:00,7.9
12-1-2015 11:00,8.4
12-1-2015 12:00,8.7
12-1-2015 13:00,9
12-1-2015 14:00,8.6
12-1-2015 15:00,9.1
12-1-2015 16:00,9.1
12-1-2015 17:00,8.6
12-1-2015 18:00,9
12-1-2015 19:00,9.1
12-1-2015 20:00,9.5
12-1-2015 21:00,9.4
12-1-2015 22:00,9.7
12-1-2015 23:00,10.2
13-1-2015 0:00,10.1
13-1-2015 1:00,9.8
13-1-2015 2:00,10.3
13-1-2015 3:00,10.8
13-1-2015 4:00,10.7
13-1-2015 5:00,9.8
13-1-2015 6:00,9.5
13-1-2015 7:00,9.7
13-1-2015 8:00,10
13-1-2015 9:00,8.8
13-1-2015 10:00,8.9
13-1-2015 11:00,8.7
13-1-2015 12:00,8.6
13-1-2015 13:00,8.2
13-1-2015 14:00,7.9
13-1-2015 15:00,8.2
13-1-2015 16:00,8.4
13-1-2015 17:00,8.2
13-1-2015 18:00,7.7
13-1-2015 19:00,7.1
13-1-2015 20:00,6.9
13-1-2015 21:00,6.5
13-1-2015 22:00,6.5
13-1-2015 23:00,4.4
14-1-2015 0:00,4.6
14-1-2015 1:00,5.3
14-1-2015 2:00,5
14-1-2015 3:00,5
14-1-2015 4:00,5.1
14-1-2015 5:00,3.5
14-1-2015 6:00,3.5
14-1-2015 7:00,4.1
14-1-2015 8:00,3.2
14-1-2015 9:00,4.4
14-1-2015 10:00,4.1
14-1-2015 11:00,4.6
14-1-2015 12:00,4.1
14-1-2015 13:00,5.8
14-1-2015 14:00,5.4
14-1-2015 15:00,4.8
14-1-2015 16:00,4.2
14-1-2015 17:00,3.5
14-1-2015 18:00,3.4
14-1-2015 19:00,3.2
14-1-2015 20:00,4
14-1-2015 21:00,4.4
14-1-2015 22:00,4.7
14-1-2015 23:00,6
15-1-2015 0:00,6
15-1-2015 1:00,6.5
15-1-2015 2:00,6.4
15-1-2015 3:00,7.1
15-1-2015 4:00,8
15-1-2015 5:00,8.5
15-1-2015 6:00,9.3
15-1-2015 7:00,9.7
15-1-2015 8:00,10.2
15-1-2015 9:00,10.1
15-1-2015 10:00,9.4
15-1-2015 11:00,8.1
15-1-2015 12:00,7.5
15-1-2015 13:00,7.3
15-1-2015 14:00,7.4
15-1-2015 15:00,8.3
15-1-2015 16:00,8.7
15-1-2015 17:00,8.3
15-1-2015 18:00,7.8
15-1-2015 19:00,7.6
15-1-2015 20:00,7.3
15-1-2015 21:00,7
15-1-2015 22:00,7.3
15-1-2015 23:00,6.6
16-1-2015 0:00,6.4
16-1-2015 1:00,6.1
16-1-2015 2:00,5.7
16-1-2015 3:00,5.6
16-1-2015 4:00,5.1
16-1-2015 5:00,5.1
16-1-2015 6:00,4.7
16-1-2015 7:00,4.4
16-1-2015 8:00,4.7
16-1-2015 9:00,5.6
16-1-2015 10:00,6.9
16-1-2015 11:00,7.4
16-1-2015 12:00,8.1
16-1-2015 13:00,8.1
16-1-2015 14:00,7.6
16-1-2015 15:00,6
16-1-2015 16:00,5.3
16-1-2015 17:00,6.2
16-1-2015 18:00,4.5
16-1-2015 19:00,3.9
16-1-2015 20:00,3.9
16-1-2015 21:00,4.1
16-1-2015 22:00,3.7
16-1-2015 23:00,3.1
17-1-2015 0:00,3
17-1-2015 1:00,2.2
17-1-2015 2:00,1.5
17-1-2015 3:00,1.1
17-1-2015 4:00,0.9
17-1-2015 5:00,1.1
17-1-2015 6:00,1.3
17-1-2015 7:00,-0.9
17-1-2015 8:00,1.9
17-1-2015 9:00,4
17-1-2015 10:00,4.9
17-1-2015 11:00,5.7
17-1-2015 12:00,5.9
17-1-2015 13:00,5.6
17-1-2015 14:00,4.7
17-1-2015 15:00,3.3
17-1-2015 16:00,3.2
17-1-2015 17:00,3.3
17-1-2015 18:00,3
17-1-2015 19:00,3.1
17-1-2015 20:00,3.2
17-1-2015 21:00,3
17-1-2015 22:00,3.2
17-1-2015 23:00,3.1
18-1-2015 0:00,3
18-1-2015 1:00,2.6
18-1-2015 2:00,2.7
18-1-2015 3:00,2.7
18-1-2015 4:00,2.7
18-1-2015 5:00,2.8
18-1-2015 6:00,2.4
18-1-2015 7:00,2
18-1-2015 8:00,1.9
18-1-2015 9:00,2.4
18-1-2015 10:00,3.1
18-1-2015 11:00,3.2
18-1-2015 12:00,2.6
18-1-2015 13:00,1.5
18-1-2015 14:00,1.9
18-1-2015 15:00,1.9
18-1-2015 16:00,2.1
18-1-2015 17:00,2
18-1-2015 18:00,1.8
18-1-2015 19:00,1.7
18-1-2015 20:00,1.5
18-1-2015 21:00,1.4
18-1-2015 22:00,1.2
18-1-2015 23:00,1
19-1-2015 0:00,0.9
19-1-2015 1:00,1
19-1-2015 2:00,1.1
19-1-2015 3:00,1
19-1-2015 4:00,1
19-1-2015 5:00,0.9
19-1-2015 6:00,0.7
19-1-2015 7:00,0.7
19-1-2015 8:00,1
19-1-2015 9:00,1
19-1-2015 10:00,1.1
19-1-2015 11:00,1.5
19-1-2015 12:00,1.4
19-1-2015 13:00,1.4
19-1-2015 14:00,1.3
19-1-2015 15:00,1.2
19-1-2015 16:00,1.2
19-1-2015 17:00,1.2
19-1-2015 18:00,1.2
19-1-2015 19:00,1.1
19-1-2015 20:00,1
19-1-2015 21:00,0.8
19-1-2015 22:00,0.6
19-1-2015 23:00,0.5
20-1-2015 0:00,0.5
20-1-2015 1:00,0.6
20-1-2015 2:00,0.6
20-1-2015 3:00,0.7
20-1-2015 4:00,0.7
20-1-2015 5:00,1
20-1-2015 6:00,1.1
20-1-2015 7:00,0.9
20-1-2015 8:00,1.2
20-1-2015 9:00,1.4
20-1-2015 10:00,2.2
20-1-2015 11:00,3
20-1-2015 12:00,3.5
20-1-2015 13:00,2.7
20-1-2015 14:00,2.8
20-1-2015 15:00,1.9
20-1-2015 16:00,0.6
20-1-2015 17:00,-1.2
20-1-2015 18:00,0.4
20-1-2015 19:00,0.5
20-1-2015 20:00,-1.8
20-1-2015 21:00,-1.9
20-1-2015 22:00,-2.1
20-1-2015 23:00,-1
21-1-2015 0:00,-1
21-1-2015 1:00,-1.3
21-1-2015 2:00,-1.3
21-1-2015 3:00,-1.2
21-1-2015 4:00,-1.4
21-1-2015 5:00,-1.5
21-1-2015 6:00,-1.7
21-1-2015 7:00,-1.5
21-1-2015 8:00,-1.1
21-1-2015 9:00,-0.3
21-1-2015 10:00,0.4
21-1-2015 11:00,1.1
21-1-2015 12:00,1.3
21-1-2015 13:00,1.4
21-1-2015 14:00,1.3
21-1-2015 15:00,0.7
21-1-2015 16:00,0.3
21-1-2015 17:00,-0.1
21-1-2015 18:00,-0.4
21-1-2015 19:00,-0.6
21-1-2015 20:00,-1.1
21-1-2015 21:00,-1.1
21-1-2015 22:00,-1.4
21-1-2015 23:00,-1.9
22-1-2015 0:00,-2.4
22-1-2015 1:00,-2.8
22-1-2015 2:00,-2.3
22-1-2015 3:00,-2.2
22-1-2015 4:00,-2
22-1-2015 5:00,-2.1
22-1-2015 6:00,-2.3
22-1-2015 7:00,-2
22-1-2015 8:00,-1.5
22-1-2015 9:00,-0.9
22-1-2015 10:00,-1.1
22-1-2015 11:00,-0.9
22-1-2015 12:00,-0.9
22-1-2015 13:00,-0.4
22-1-2015 14:00,-0.1
22-1-2015 15:00,0
22-1-2015 16:00,0
22-1-2015 17:00,0.2
22-1-2015 18:00,0.4
22-1-2015 19:00,0.2
22-1-2015 20:00,-0.6
22-1-2015 21:00,-1.2
22-1-2015 22:00,-1.7
22-1-2015 23:00,-2.7
23-1-2015 0:00,-2.6
23-1-2015 1:00,-2.9
23-1-2015 2:00,-4.9
23-1-2015 3:00,-5.5
23-1-2015 4:00,-5.3
23-1-2015 5:00,-3.9
23-1-2015 6:00,-3.8
23-1-2015 7:00,-3.8
23-1-2015 8:00,-3.8
23-1-2015 9:00,-3.4
23-1-2015 10:00,-2.8
23-1-2015 11:00,-2.4
23-1-2015 12:00,-1.7
23-1-2015 13:00,-1.6
23-1-2015 14:00,-1.4
23-1-2015 15:00,-1.8
23-1-2015 16:00,-2
23-1-2015 17:00,-1.9
23-1-2015 18:00,-2.3
23-1-2015 19:00,-2.6
23-1-2015 20:00,-2.4
23-1-2015 21:00,-2.1
23-1-2015 22:00,-1.9
23-1-2015 23:00,-1.6
24-1-2015 0:00,-1.4
24-1-2015 1:00,-0.9
24-1-2015 2:00,-0.6
24-1-2015 3:00,-0.4
24-1-2015 4:00,-0.1
24-1-2015 5:00,0
24-1-2015 6:00,0.3
24-1-2015 7:00,0.6
24-1-2015 8:00,0.9
24-1-2015 9:00,2
24-1-2015 10:00,5
24-1-2015 11:00,5.9
24-1-2015 12:00,6.3
24-1-2015 13:00,6.7
24-1-2015 14:00,5.9
24-1-2015 15:00,5.4
24-1-2015 16:00,3.9
24-1-2015 17:00,3.3
24-1-2015 18:00,3
24-1-2015 19:00,2.5
24-1-2015 20:00,2
24-1-2015 21:00,0.9
24-1-2015 22:00,1
24-1-2015 23:00,-0.5
25-1-2015 0:00,-1.6
25-1-2015 1:00,-2.1
25-1-2015 2:00,1.4
25-1-2015 3:00,1.9
25-1-2015 4:00,2.3
25-1-2015 5:00,2.2
25-1-2015 6:00,2.3
25-1-2015 7:00,3.3
25-1-2015 8:00,3.9
25-1-2015 9:00,4.4
25-1-2015 10:00,4.4
25-1-2015 11:00,5.1
25-1-2015 12:00,5.3
25-1-2015 13:00,5.4
25-1-2015 14:00,5.6
25-1-2015 15:00,5.6
25-1-2015 16:00,5.5
25-1-2015 17:00,5.1
25-1-2015 18:00,5.1
25-1-2015 19:00,5
25-1-2015 20:00,4.8
25-1-2015 21:00,4.8
25-1-2015 22:00,4.9
25-1-2015 23:00,4.6
26-1-2015 0:00,4.8
26-1-2015 1:00,4.9
26-1-2015 2:00,4.7
26-1-2015 3:00,4.5
26-1-2015 4:00,4.5
26-1-2015 5:00,4.5
26-1-2015 6:00,4.7
26-1-2015 7:00,5.6
26-1-2015 8:00,5.9
26-1-2015 9:00,6.1
26-1-2015 10:00,7.3
26-1-2015 11:00,8.2
26-1-2015 12:00,8.2
26-1-2015 13:00,8.1
26-1-2015 14:00,7.6
26-1-2015 15:00,7
26-1-2015 16:00,6.7
26-1-2015 17:00,6.4
26-1-2015 18:00,6.2
26-1-2015 19:00,5.7
26-1-2015 20:00,5.5
26-1-2015 21:00,5.1
26-1-2015 22:00,4.3
26-1-2015 23:00,4.5
27-1-2015 0:00,4.8
27-1-2015 1:00,3.9
27-1-2015 2:00,3.9
27-1-2015 3:00,3.6
27-1-2015 4:00,4.1
27-1-2015 5:00,4
27-1-2015 6:00,3.9
27-1-2015 7:00,3.8
27-1-2015 8:00,5.2
27-1-2015 9:00,6.4
27-1-2015 10:00,6.8
27-1-2015 11:00,7.1
27-1-2015 12:00,7.3
27-1-2015 13:00,7.1
27-1-2015 14:00,6.9
27-1-2015 15:00,6.5
27-1-2015 16:00,6
27-1-2015 17:00,5.3
27-1-2015 18:00,4.9
27-1-2015 19:00,3.9
27-1-2015 20:00,3.3
27-1-2015 21:00,3.7
27-1-2015 22:00,4.9
27-1-2015 23:00,5
28-1-2015 0:00,5.4
28-1-2015 1:00,5.1
28-1-2015 2:00,5.1
28-1-2015 3:00,5.3
28-1-2015 4:00,5.2
28-1-2015 5:00,5.3
28-1-2015 6:00,5.4
28-1-2015 7:00,5.7
28-1-2015 8:00,5.5
28-1-2015 9:00,5.7
28-1-2015 10:00,6.3
28-1-2015 11:00,6.3
28-1-2015 12:00,6.1
28-1-2015 13:00,6.3
28-1-2015 14:00,7.2
28-1-2015 15:00,3.6
28-1-2015 16:00,4.2
28-1-2015 17:00,5
28-1-2015 18:00,5.1
28-1-2015 19:00,5.1
28-1-2015 20:00,4.8
28-1-2015 21:00,4.3
28-1-2015 22:00,4.5
28-1-2015 23:00,4
29-1-2015 0:00,3.6
29-1-2015 1:00,3.7
29-1-2015 2:00,2.6
29-1-2015 3:00,2
29-1-2015 4:00,2.5
29-1-2015 5:00,3.3
29-1-2015 6:00,2.9
29-1-2015 7:00,2.2
29-1-2015 8:00,2.4
29-1-2015 9:00,2.4
29-1-2015 10:00,1.6
29-1-2015 11:00,2.7
29-1-2015 12:00,3.4
29-1-2015 13:00,4.1
29-1-2015 14:00,4.4
29-1-2015 15:00,3.6
29-1-2015 16:00,3.3
