,PowerCapacity,Type,Unit,Zone,Technology,Fuel,JRC_id,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,DH
1,1914,Fossil Gas,Claus,NL,COMC,GAS,0,0.525,5,1,0.005835946,0.005835946,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
2,1554,Fossil Gas,Eemshaven 1,NL,STUR,HRD,0,0.395,8,6,0.003217503,0.003217503,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,
3,1326,Fossil Gas,Eemshaven 2,NL,COMC,GAS,0,0.525,5,1,0.008423831,0.008423831,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
4,1090,Fossil Gas,Hemweg,NL,STUR,HRD,0,0.395,8,6,0.004587156,0.004587156,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,
5,1070,Fossil Gas,Maasvlakte,NL,STUR,HRD,0,0.395,8,6,0.004672897,0.004672897,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,
6,869,Fossil Gas,Velsen,NL,COMC,GAS,0,0.525,5,1,0.012853855,0.012853855,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
7,864,Fossil Gas,Sloecentrale,NL,COMC,GAS,0,0.525,5,1,0.012928241,0.012928241,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
8,860,Fossil Gas,Enecogen,NL,COMC,GAS,0,0.525,5,1,0.012988372,0.012988372,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
9,840,Fossil Gas,Rijnmond,NL,COMC,GAS,0,0.525,5,1,0.013297619,0.013297619,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
10,774,Fossil Gas,Moerdijk,NL,COMC,GAS,0,0.525,5,1,0.014431525,0.014431525,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
11,731,Internal Combustion Engine,MVL380 CR10,NL,STUR,HRD,0,0.395,8,6,0.006839945,0.006839945,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,
12,684,Internal Combustion Engine,Diemen,NL,COMC,GAS,0,0.525,5,1,0.016330409,0.016330409,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
13,643,Internal Combustion Engine,Amer,NL,STUR,HRD,0,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,
14,66,Internal Combustion Engine,Maasvlakte 1,NL,STUR,HRD,0,0.395,8,6,0.075757576,0.075757576,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,
15,66,Internal Combustion Engine,Maasvlakte 2,NL,STUR,HRD,0,0.395,8,6,0.075757576,0.075757576,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,
16,492,Internal Combustion Engine,Borssele 30,NL,STUR,NUC,0,0.405,24,24,0.006971545,0.006971545,200000,0,0,0.9,0.405,72,0,,,,,,,,,
17,456,Fossil Gas,TNZ150 ELSTA,NL,COMC,GAS,0,0.525,5,1,0.024495614,0.024495614,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
18,437,Fossil Gas,LLS150FL-5,NL,COMC,GAS,0,0.525,5,1,0.025560641,0.025560641,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
19,435,Fossil Gas,LLS380 FL-4,NL,COMC,GAS,0,0.525,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
20,427,Fossil Gas,Rijnmond II,NL,COMC,GAS,0,0.525,5,1,0.026159251,0.026159251,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
21,408,Fossil Gas,Borssele 12,NL,STUR,HRD,0,0.395,8,6,0.012254902,0.012254902,117242.17,0,0,0.3,0.395,7,0.95,,,,,,,,,
22,361,Fossil Gas,eem220-ec-5,NL,COMC,GAS,0,0.525,5,1,0.030941828,0.030941828,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
23,360,Wind Onshore,eem380-ec-7,NL,COMC,GAS,0,0.525,5,1,0.031027778,0.031027778,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
24,359,Photovoltaic,eem220-ec-4,NL,COMC,GAS,0,0.525,5,1,0.031114206,0.031114206,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
25,359,Fossil Gas,eem220-ec-3,NL,COMC,GAS,0,0.525,5,1,0.031114206,0.031114206,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
26,359,Fossil Gas,eem380-ec-6,NL,COMC,GAS,0,0.525,5,1,0.031114206,0.031114206,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
27,247,Fossil Gas,Centrale Lage Weide,NL,COMC,GAS,0,0.525,5,1,0.045222672,0.045222672,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
